"shapeid","OBJECTID","ILCEKN","ILCE_ADI","KIMLIKNO","AD","YAKA","KARAR_NO","KARAR_TARI","GLOBALID","CREATED_US","CREATED_DA","LAST_EDITE","LAST_EDI_1","TANITIMKOD","SHAPE_Leng","SHAPE_Area","area","perimeter"
"82.0","83","2005","5","40179","SÝYAVUÞPAÞA","2","NULL","1899-12-30","{16996EBA-BB4F-4F2F-8D7C-0E9A12774B9C}","NULL","NULL","NULL","NULL","3","4769.20291898","812130.263562","8.69018001594668e-05","0.04904189373503269"
"83.0","84","2051","36","40873","KAVAKLI","2","NULL","1899-12-30","{3BAF0EA1-BF06-4965-89EC-CDF25A218184}","NULL","NULL","NULL","NULL","9","12858.8550919","5269971.70761","0.0005636783961335823","0.1322341634634048"
"84.0","85","1185","8","40253","ÇAMLIBAHÇE","1","NULL","1899-12-30","{4AD121A5-962A-4168-A9C3-ECFA7233C864}","NULL","NULL","NULL","NULL","17","4134.7673711","499791.668273","5.3601900049216056e-05","0.04110535363932806"
"85.0","86","1185","8","40249","SOÐUKSU","1","NULL","1899-12-30","{CAB46C24-4C61-44A0-8D51-398344E05169}","NULL","NULL","NULL","NULL","13","5238.55163508","936559.004835","0.00010038995446848276","0.05615597469458306"
"86.0","87","1852","24","98696","MEHMET AKÝF","1","NULL","1899-12-30","{0E8EC69B-1F56-431D-BE97-AAA41399CEF6}","NULL","NULL","NULL","NULL","27","3836.7588728","740376.495227","7.92380719758512e-05","0.04089138569400768"
"87.0","88","1604","21","40659","CUMHURÝYET","2","NULL","1899-12-30","{7E037502-A592-4AAB-BB87-EC522C5CBAB0}","NULL","NULL","TERDEM","2017-03-07","0","5288.76254623","1138039.63734","0.00012204989309338998","0.054522384730404105"
"88.0","89","1604","21","40665","FERAHEVLER","2","NULL","1899-12-30","{1C1061B1-5EEA-42F2-8D39-41D1B6C94B19}","NULL","NULL","TERDEM","2017-03-07","0","6044.03666293","1280912.8316","0.00013733461310039274","0.0629012817960866"
"89.0","90","2052","37","40766","AYDINLAR","1","NULL","1899-12-30","{7C5C06CB-B538-4FEA-9ECD-73638D1653EE}","NULL","NULL","NULL","NULL","8","4936.08080499","650845.585798","6.966908802041871e-05","0.05442503701309794"
"90.0","91","1325","11","40374","SAKARYA","2","NULL","1899-12-30","{F8D32804-EA3F-4223-8FA1-76A6C630A626}","NULL","NULL","NULL","NULL","10","4337.40156985","443049.675764","4.745588410060009e-05","0.044066843000625286"
"91.0","92","2055","40","40471","50. YIL","2","NULL","1899-12-30","{CF3A377B-A6C2-491F-883B-6661FD7D67B2}","NULL","NULL","NULL","NULL","41","4352.23267998","1143610.13114","0.0001225376707907344","0.047165076027266474"
